wkt_geom;field_1;field_2;field_3;field_4;field_5;field_6;id;Set
Point (21.28300000000000125 37.91700000000000159);166820;ANDRAVIDA (AIRPORT);GREECE;37.917;21.283;14;1;Schiereiland
Point (21.41700000000000159 38.14999999999999858);166870;ARAXOS (AIRPORT);GREECE;38.15;21.417;12;1;Schiereiland
Point (23.53300000000000125 38.31700000000000017);166990;TANAGRA (AIRPORT);GREECE;38.317;23.533;140;1;Schiereiland
Point (23.73300000000000054 37.89999999999999858);167160;ATHINAI (AIRPORT);GREECE;37.9;23.733;15;1;Schiereiland
Point (23.94999999999999929 37.93299999999999983);167161;ELEFTHERIOS VENIZEL;GREECE;37.933;23.95;96;1;Schiereiland
Point (23.55000000000000071 38.06700000000000017);167180;ELEFSIS (AIRPORT);GREECE;38.067;23.55;31;1;Schiereiland
Point (22.01699999999999946 37.06700000000000017);167260;KALAMATA (AIRPORT);GREECE;37.067;22.017;8;1;Schiereiland
Point (21.69999999999999929 36.83299999999999841);167340;METHONI;GREECE;36.833;21.7;34;1;Schiereiland
Point (26.56700000000000017 41.66700000000000159);170500;EDIRNE;TURKEY;41.667;26.567;51;1;Schiereiland
Point (27.55000000000000071 40.98299999999999699);170560;TEKIRDAG;TURKEY;40.983;27.55;3;1;Schiereiland
Point (27.91700000000000159 41.13300000000000267);170575;CORLU;TURKEY;41.133;27.917;179;1;Schiereiland
Point (28.81700000000000017 40.96699999999999875);170600;ISTANBUL/ATATURK;TURKEY;40.967;28.817;37;1;Schiereiland
Point (18.71699999999999875 44.53300000000000125);691810;TUZLA;UNITED STATES;44.533;18.717;0;1;Schiereiland
